video_id,title,video_url,exact_ingredients,time,temperature,uses_knife,uses_heat,richness,oil,effort,reviewer,reviewed_at,review_status,source,notes,visual_knife
LSbSjMdWCOc,【卵液不要】10分でチーズ溢れる豚しそカツ| 包丁も使いません。,https://www.youtube.com/watch?v=LSbSjMdWCOc,"pork,cheese,mayonnaise",easy,warm,false,true,,5,3,Codex,2026-08-23,confirmed,title/manual,"卵液不要なのでeggを除外。料理名が豚しそカツなのでchickenを除外。しそは現在のタグ辞書に未定義。"
5d-r8rLTr00,【家にある調味料で作る】簡単絶品親子丼レシピ大公開！【フライパンでふわとろ食感♪】,https://www.youtube.com/watch?v=5d-r8rLTr00,"chicken,egg,rice,green_onion,onion",easy,warm,true,true,,2,1,Codex,2026-08-23,confirmed,title/manual,"親子丼にwhitefishが混入していたため除外。一般的な親子丼構成に合わせて補正。"
RmnpWkWnyk8,牛丼をそのまま煮るのは大損！安い肉が劇的にトロトロになる元店員の秘密の下準備。 #牛丼の作り方 #おすすめ #裏技 #暮らしの知恵 #主婦の知恵,https://www.youtube.com/watch?v=RmnpWkWnyk8,,,,,,,,,Codex,2026-09-24,excluded,title/manual,"下準備・裏技説明が中心で、推薦対象の完成レシピ動画として扱わない。"
bzGXhh0LryM,【食費月1万円】節約の裏技！野菜を捨てない保存術と5日間のリアルな自炊記録🍚,https://www.youtube.com/watch?v=bzGXhh0LryM,,,,,,,,,Codex,2026-09-24,excluded,title/manual,"保存術・自炊記録が中心で、単体の完成レシピ動画として扱わない。"
Gk8wfg9qEvI,【2ch有益スレ】一人暮らし自炊民のワイにマジで健康な貧乏飯レシピ教えてw【ゆっくり解説】,https://www.youtube.com/watch?v=Gk8wfg9qEvI,,,,,,,,,Codex,2026-09-24,excluded,title/manual,"掲示板まとめ・解説形式で、推薦対象の料理動画として扱わない。"
DN6mKlflhMo,【2ch有益スレ】一人暮らしのワイにガチ簡単な料理教えてクレメンスｗ【ゆっくり解説】,https://www.youtube.com/watch?v=DN6mKlflhMo,,,,,,,,,Codex,2026-09-24,excluded,title/manual,"掲示板まとめ・解説形式で、推薦対象の料理動画として扱わない。"
-hh1p01-vuY,【2ch有益スレ】ガチ一人暮らし自炊勢の最強食費節約術をまてめて挙げてけw【ゆっくり解説】,https://www.youtube.com/watch?v=-hh1p01-vuY,,,,,,,,,Codex,2026-09-24,excluded,title/manual,"掲示板まとめ・節約術解説で、単体の完成レシピ動画として扱わない。"
Zco1hcFW2DY,【知らないと損！時短ゆで卵 裏技】 #ライフハック #暮らし #裏技 #ゆで卵,https://www.youtube.com/watch?v=Zco1hcFW2DY,,,,,,,,,Codex,2026-09-24,excluded,title/manual,"家事ハック・裏技が中心で、完成レシピ動画として扱わない。"
r74Bfjk8mYg,【時短・節約！もう茹でん激うまゆで卵】#ゆで卵レシピ #時短レシピ #節約レシピ #ズボラ飯 #家事ハック #暮らしの知恵 #ズボラ主婦 #便利ワザ #料理の裏ワザ #キッチンハック,https://www.youtube.com/watch?v=r74Bfjk8mYg,,,,,,,,,Codex,2026-09-24,excluded,title/manual,"家事ハック・裏技が中心で、完成レシピ動画として扱わない。"
BwX7JO5v6g8,知らないと損する【ステーキ肉の焼き方】スーパーの薄い肉が高級ステーキになる方法 #shorts,https://www.youtube.com/watch?v=BwX7JO5v6g8,,,,,,,,,Codex,2026-09-24,excluded,title/manual,"焼き方・技術解説が中心で、条件に合う完成レシピ動画として扱わない。"
1TGzuBboYXE,悪魔のてりたまベーコン丼,https://www.youtube.com/watch?v=1TGzuBboYXE,"bacon,egg,rice",easy,warm,true,true,,4,1,Codex,2026-09-24,confirmed,video/manual,"動画内の包丁写り込み・ベーコン調理を包丁ありとして補正。",true
